show_id,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
s147,s146,s145,s7528,s7251,s8800
s148,s2573,s6387,s1622,s1106,s2944
s149,s7005,s633,s8464,s496,s2009
s150,s7570,s3056,s6658,s7739,s5813
s151,s347,s3442,s4361,s3478,s7336
s152,s3792,s3942,s233,s4260,s8642
s153,s4976,s5895,s5656,s5560,s3592
s154,s1953,s1893,s2812,s756,s1441
s155,s3628,s8755,s28,s3277,s3315
s156,s3518,s3075,s4714,s5567,s8688
s157,s403,s7276,s2217,s7061,s2597
s158,s3467,s5993,s2191,s458,s4446
s159,s705,s6495,s386,s460,s4771
s160,s7346,s6657,s5071,s3879,s1072
s161,s8708,s343,s4179,s1466,s4128
s162,s5781,s6347,s3959,s8420,s7353
s163,s1634,s1690,s6074,s6539,s8450
s164,s8219,s1186,s1688,s2647,s2269
s165,s7098,s8524,s5620,s658,s7443
s166,s8175,s5073,s2961,s2179,s7289
s167,s3788,s8232,s7203,s2673,s209
s168,s3770,s2909,s7670,s2911,s2261
s169,s5514,s7540,s4907,s6351,s4412
s170,s5008,s7282,s3560,s2382,s5773
s172,s6990,s2755,s6996,s4382,s5636
s173,s8012,s984,s3146,s616,s5040
s174,s7087,s3876,s605,s3573,s7528
s175,s6149,s3936,s5892,s7964,s615
s176,s3103,s3922,s2081,s1705,s4056
s177,s5065,s1448,s1220,s2624,s2334
s178,s6550,s1773,s5367,s8292,s664
s179,s4939,s6158,s5825,s999,s7826
s180,s7798,s181,s991,s8521,s1183
s181,s180,s5213,s3373,s1094,s5531
s182,s447,s113,s3844,s4598,s4940
s183,s354,s8720,s5696,s4961,s8757
s184,s5504,s7974,s3870,s2708,s4744
s185,s4228,s1147,s1342,s2686,s2199
s186,s5019,s5994,s3507,s6210,s6959
s187,s1469,s5719,s3853,s3500,s7112
s188,s6421,s1210,s8393,s1388,s5144
s189,s4088,s2861,s2070,s2681,s1895
s190,s696,s197,s721,s3893,s6403
s191,s870,s1282,s2722,s3137,s4575
s192,s8490,s2292,s6814,s5119,s6572
s193,s5782,s4317,s2267,s7084,s3434
s194,s4838,s1878,s868,s8672,s4831
s195,s4244,s299,s558,s632,s4749
s196,s247,s3215,s4662,s901,s1233
s197,s1561,s1715,s6730,s1566,s585
s198,s1025,s5958,s8716,s2218,s5454
s199,s74,s7597,s3348,s7690,s4092
s200,s749,s1300,s2701,s145,s3130
s201,s7463,s7160,s6071,s8084,s1378
s202,s6862,s8521,s6319,s6708,s2823
s203,s7734,s5719,s3533,s8154,s2981
s206,s4835,s2696,s2267,s789,s740
s208,s3032,s3854,s7087,s6569,s6866
s209,s8369,s8232,s2852,s167,s2281
s210,s2281,s8268,s5719,s4452,s3377
s211,s212,s5992,s6947,s5988,s7569
s212,s211,s5455,s5082,s4976,s1567
s213,s5711,s1048,s3353,s6420,s5475
s214,s5110,s2141,s1348,s6808,s1096
s215,s472,s8613,s1998,s1107,s6022
s216,s6975,s6543,s5461,s2364,s3224
s217,s8613,s8268,s1405,s719,s2281
s219,s383,s8477,s5323,s6479,s3315
s220,s3349,s1004,s3171,s3157,s3737
s221,s888,s7151,s6479,s7598,s1047
s222,s6470,s6348,s5886,s2633,s5913
s223,s1919,s8508,s5482,s4186,s4145
s224,s6862,s5419,s4901,s6158,s303
s225,s2705,s497,s6251,s678,s3490
s226,s3719,s7442,s4180,s8758,s5513
s227,s6584,s972,s4071,s3347,s3274
s228,s1063,s8521,s6085,s4170,s4078
s229,s3103,s3112,s6671,s8078,s7268
s230,s6654,s3990,s4820,s8011,s1313
s231,s8490,s4788,s4411,s132,s5105
s232,s6654,s3844,s3399,s8317,s6738
s233,s7124,s152,s4260,s1890,s3942
s234,s8012,s5046,s6977,s3146,s8473
s235,s5145,s287,s7216,s3540,s6405
s236,s5841,s478,s2792,s867,s5323
s237,s238,s240,s239,s1738,s2424
s238,s237,s240,s239,s1738,s2424
s239,s237,s238,s240,s1738,s5339
s240,s237,s238,s239,s1738,s2424
s241,s2096,s2059,s3118,s2030,s1469
s242,s4589,s3539,s7926,s5360,s2405
s243,s7813,s8696,s6378,s476,s4675
s244,s2225,s7534,s3670,s1055,s2824
