contentId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-6.451309518266745e+18,3.353902017498794e+18,1.4856526480521272e+18,5.274322067107287e+18,3.0678752543495977e+18,-6.713697716910929e+18
-7.292285110016212e+18,1.220948775534529e+18,-2.489051066377567e+18,8.926283897590638e+18,7.845570490247451e+18,8.631616594020837e+18
-6.151852268067518e+18,8.298709454703869e+18,8.596997246990923e+18,4.877833951599819e+18,4.563606877148407e+18,-7.586203274767894e+18
2.4480268943064023e+18,1.2669581852395822e+18,-6.929723062299048e+17,-2.2735171849100065e+18,6.419848550542384e+18,2.916072977192006e+18
-2.826566343807132e+18,-3.528088210002755e+18,-6.725796505137574e+18,-4.374331682165864e+18,4.4630255283743524e+18,3.0755642416453504e+18
-2.1488993913550113e+18,-2.0519364862929485e+17,2.72774399215721e+18,5.929055844564383e+18,-1.8682971955904312e+18,-2.2735171849100065e+18
4.119190424078848e+18,4.4630255283743524e+18,2.916072977192006e+18,5.410603488837817e+18,1.2669581852395822e+18,-1.4809134475902684e+18
-7.926018713416778e+18,1.2669581852395822e+18,-1.8682971955904312e+18,2.9000299838992835e+18,-3.810375613673462e+18,2.255603060224027e+18
3.353902017498794e+18,-6.451309518266745e+18,1.4856526480521272e+18,5.274322067107287e+18,-6.713697716910929e+18,3.0678752543495977e+18
-9.157338616628196e+18,2.6173304912318546e+18,8.54134777334049e+18,-1.7068795491026422e+17,6.201946560186606e+18,1.0124568483890514e+18
1.805789466376069e+18,5.199666313044493e+18,-2.0817605498633098e+18,-4.864344772765974e+18,-1.249436522568156e+18,-8.858741052589364e+18
-2.0817605498633098e+18,1.805789466376069e+18,5.199666313044493e+18,5.062670850994684e+18,5.619251370090681e+18,-8.474949799580074e+17
-5.170198873410719e+18,6.8734541577364e+18,7.963184191158282e+18,2.639926854188906e+18,5.934557073194045e+18,8.494390949377713e+18
-3.3677782329699963e+18,9178250635927684.0,-7.033990154815319e+18,4.644672909721737e+18,4.774970687540378e+18,1.9810461867433812e+18
4.988225165850708e+18,8.736111317960966e+18,7.66414060418104e+18,-5.973686110278906e+18,-3.5377773205237576e+18,6.754313450809255e+18
-5.917314377186857e+18,6.15703764687801e+18,-1.6690987077767255e+18,-5.636731245639686e+18,1.1203234980914675e+18,-7.565625515044904e+18
6.15703764687801e+18,-5.917314377186857e+18,-1.6690987077767255e+18,-7.565625515044904e+18,-5.636731245639686e+18,2.704436934348861e+17
6.023609667389715e+18,3.6117015104901484e+18,-6.035458164887182e+18,-6.451309518266745e+18,3.353902017498794e+18,-6.713697716910929e+18
